VendorId,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,extra,tip_amount,improvement_surcharge,total_amount
2,2024-01-13T20:12:31.000,2024-01-13T20:36:00.000,1,3.75,24.0,1.0,6.0,1.0,35.0
2,2024-01-28T23:54:45.000,2024-01-28T23:54:52.000,2,0.0,3.0,1.0,0.0,1.0,7.25
2,2024-01-22T15:06:20.000,2024-01-22T15:11:49.000,1,0.63,6.5,0.0,1.89,1.0,12.39
1,2024-01-15T11:41:53.000,2024-01-15T11:44:20.000,1,0.5,5.1,2.5,1.8,1.0,10.9
2,2024-01-12T14:37:20.000,2024-01-12T14:53:50.000,1,2.0,15.6,0.0,3.92,1.0,23.52
2,2024-01-02T20:53:57.000,2024-01-02T21:01:55.000,1,1.1,8.6,1.0,0.0,1.0,13.6
2,2024-01-01T21:48:31.000,2024-01-01T23:09:44.000,2,46.92,303.3,1.0,0.0,1.0,318.05
1,2024-01-07T13:27:53.000,2024-01-07T13:36:26.000,1,1.1,9.3,2.5,1.5,1.0,14.8
2,2024-01-04T14:59:47.000,2024-01-04T15:04:55.000,1,0.84,7.2,0.0,2.24,1.0,13.44
2,2024-01-06T20:17:07.000,2024-01-06T20:33:01.000,2,2.65,17.7,1.0,4.54,1.0,27.24
2,2024-01-05T17:35:41.000,2024-01-05T17:45:21.000,1,0.9,10.0,2.5,3.3,1.0,19.8
2,2024-01-13T23:02:59.000,2024-01-13T23:32:48.000,1,21.82,79.3,1.0,0.0,1.0,90.49
2,2024-01-11T18:02:40.000,2024-01-11T18:30:11.000,5,2.53,24.7,2.5,1.0,1.0,32.2
2,2024-01-11T19:52:47.000,2024-01-11T20:05:50.000,1,1.63,13.5,2.5,3.75,1.0,23.75
2,2024-01-08T20:06:34.000,2024-01-08T20:10:03.000,1,0.45,5.1,1.0,2.02,1.0,12.12
1,2024-01-26T08:10:30.000,2024-01-26T08:22:21.000,4,1.6,12.1,2.5,3.2,1.0,19.3
2,2024-01-30T18:44:31.000,2024-01-30T19:06:26.000,1,3.37,21.2,2.5,3.3,1.0,31.0
2,2024-01-21T11:23:10.000,2024-01-21T11:32:36.000,3,1.69,11.4,0.0,3.08,1.0,18.48
2,2024-01-12T09:52:36.000,2024-01-12T09:57:14.000,1,0.53,6.5,0.0,0.0,1.0,10.5
2,2024-01-26T15:24:35.000,2024-01-26T16:38:22.000,1,17.11,70.0,0.0,20.23,1.0,101.17
1,2024-01-27T16:34:38.000,2024-01-27T16:44:48.000,2,1.1,10.7,5.0,2.0,1.0,19.2
2,2024-01-19T12:17:28.000,2024-01-19T13:00:08.000,2,18.91,70.0,0.0,10.0,1.0,90.19
2,2024-01-24T09:30:40.000,2024-01-24T09:42:30.000,1,2.06,13.5,0.0,3.5,1.0,21.0
1,2024-01-06T08:26:48.000,2024-01-06T08:40:09.000,1,5.0,22.6,2.5,5.32,1.0,31.92
2,2024-01-08T11:41:56.000,2024-01-08T11:46:58.000,1,0.72,6.5,0.0,2.1,1.0,12.6
2,2024-01-24T08:49:16.000,2024-01-24T09:08:18.000,1,2.3,17.7,0.0,4.34,1.0,26.04
2,2024-01-20T12:51:47.000,2024-01-20T13:04:07.000,3,1.72,12.8,0.0,3.36,1.0,20.16
1,2024-01-08T14:41:28.000,2024-01-08T14:48:15.000,1,1.5,9.3,2.5,2.65,1.0,15.95
1,2024-01-23T06:27:48.000,2024-01-23T06:40:10.000,1,0.7,16.5,0.0,0.0,1.0,18.0
2,2024-01-02T13:20:08.000,2024-01-02T13:28:46.000,5,3.35,15.6,0.0,3.92,1.0,23.52
2,2024-01-28T11:33:38.000,2024-01-28T11:37:36.000,1,0.6,5.8,0.0,1.96,1.0,11.76
2,2024-01-14T14:05:55.000,2024-01-14T14:25:35.000,1,5.0,21.76,0.0,2.45,1.0,35.15
2,2024-01-31T22:44:57.000,2024-01-31T22:49:36.000,1,1.14,7.2,1.0,2.44,1.0,14.64
1,2024-01-18T15:36:34.000,2024-01-18T15:48:32.000,0,1.2,10.0,2.5,2.0,1.0,16.0
2,2024-01-24T18:19:08.000,2024-01-24T18:48:12.000,1,7.42,35.2,2.5,8.34,1.0,50.04
2,2024-01-14T21:00:26.000,2024-01-14T21:07:46.000,2,1.02,8.6,1.0,0.0,1.0,13.6
2,2024-01-25T17:43:48.000,2024-01-25T18:30:29.000,2,17.11,70.0,5.0,17.19,1.0,104.88
2,2024-01-23T08:08:20.000,2024-01-23T08:27:40.000,2,2.67,19.1,0.0,4.62,1.0,27.72
1,2024-01-08T17:58:34.000,2024-01-08T18:11:09.000,1,1.0,11.4,5.0,3.6,1.0,21.5
2,2024-01-28T17:26:23.000,2024-01-28T17:33:53.000,1,0.77,7.9,0.0,2.38,1.0,14.28
1,2024-01-19T22:36:24.000,2024-01-19T22:44:41.000,1,1.0,8.6,3.5,2.7,1.0,16.3
2,2024-01-12T22:18:58.000,2024-01-12T22:28:52.000,3,2.35,13.5,1.0,3.7,1.0,22.2
2,2024-01-29T16:41:28.000,2024-01-29T16:50:12.000,1,0.98,9.3,2.5,0.0,1.0,15.8
1,2024-01-26T21:51:25.000,2024-01-26T22:05:08.000,1,2.7,15.6,3.5,4.1,1.0,24.7
2,2024-01-02T14:41:40.000,2024-01-02T14:47:04.000,5,0.9,7.9,0.0,0.0,1.0,11.9
2,2024-01-28T12:30:04.000,2024-01-28T12:44:06.000,1,5.08,23.3,0.0,5.46,1.0,32.76
2,2024-01-16T21:33:40.000,2024-01-16T21:53:38.000,1,4.04,22.6,1.0,6.9,1.0,34.5
1,2024-01-22T14:00:38.000,2024-01-22T14:07:05.000,2,1.1,8.6,2.5,2.5,1.0,15.1
2,2024-01-17T11:49:49.000,2024-01-17T12:31:36.000,1,2.9,34.5,0.0,9.62,1.0,48.12
1,2024-01-10T18:58:56.000,2024-01-10T19:10:07.000,1,1.4,11.4,5.0,3.55,1.0,21.45
1,2024-01-19T10:57:16.000,2024-01-19T11:12:27.000,1,2.7,14.9,2.5,3.8,1.0,22.7
1,2024-01-06T16:23:06.000,2024-01-06T16:41:23.000,1,1.0,15.6,2.5,0.0,1.0,19.6
2,2024-01-05T18:03:40.000,2024-01-05T18:16:30.000,1,2.33,14.2,2.5,4.14,1.0,24.84
1,2024-01-11T21:57:17.000,2024-01-11T22:27:43.000,1,11.1,44.3,3.5,9.85,1.0,59.15
1,2024-01-20T19:35:37.000,2024-01-20T20:08:05.000,1,5.2,32.4,2.5,0.0,1.0,36.4
2,2024-01-17T22:47:38.000,2024-01-17T22:51:54.000,4,0.91,6.5,1.0,3.45,1.0,14.95
2,2024-01-04T10:37:42.000,2024-01-04T10:55:19.000,2,2.03,17.0,0.0,5.25,1.0,26.25
2,2024-01-23T18:45:59.000,2024-01-23T18:48:58.000,1,0.69,5.8,2.5,2.94,1.0,12.74
2,2024-01-18T13:18:15.000,2024-01-18T13:48:21.000,1,10.3,45.0,5.0,6.27,1.0,68.96
1,2024-01-09T18:06:23.000,2024-01-09T18:17:25.000,2,1.3,11.4,5.0,0.0,1.0,17.9
1,2024-01-17T08:12:45.000,2024-01-17T08:23:48.000,1,0.7,10.0,2.5,2.8,1.0,16.8
2,2024-01-07T03:13:00.000,2024-01-07T03:18:44.000,1,0.94,7.9,1.0,2.58,1.0,15.48
1,2024-01-11T20:42:53.000,2024-01-11T21:02:43.000,1,2.1,16.3,3.5,0.0,1.0,21.3
2,2024-01-29T05:14:10.000,2024-01-29T05:20:05.000,1,1.7,10.0,1.0,2.0,1.0,17.0
2,2024-01-25T11:11:39.000,2024-01-25T11:20:49.000,2,0.6,9.3,0.0,1.0,1.0,14.3
2,2024-01-16T18:12:48.000,2024-01-16T18:17:21.000,1,0.6,6.5,2.5,3.25,1.0,16.25
1,2024-01-30T14:30:24.000,2024-01-30T14:41:40.000,1,0.8,9.3,2.5,2.65,1.0,15.95
2,2024-01-18T19:06:31.000,2024-01-18T19:16:34.000,1,1.09,10.0,2.5,3.3,1.0,19.8
2,2024-01-08T08:31:24.000,2024-01-08T08:35:46.000,1,0.64,6.5,0.0,2.62,1.0,13.12
1,2024-01-10T09:39:07.000,2024-01-10T09:55:04.000,1,2.3,16.3,2.5,4.0,1.0,24.3
2,2024-01-29T13:47:38.000,2024-01-29T14:35:32.000,1,10.21,53.4,0.0,9.6,1.0,67.0
2,2024-01-23T10:03:16.000,2024-01-23T10:05:56.000,1,0.83,5.8,0.0,1.96,1.0,11.76
2,2024-01-22T09:16:39.000,2024-01-22T09:25:38.000,1,1.07,10.0,0.0,2.8,1.0,16.8
2,2024-01-06T11:48:15.000,2024-01-06T12:10:02.000,1,10.14,40.8,0.0,0.0,1.0,44.8
2,2024-01-14T15:49:31.000,2024-01-14T16:51:49.000,1,18.99,70.0,0.0,16.19,1.0,98.88
1,2024-01-13T07:06:15.000,2024-01-13T07:16:05.000,1,3.1,14.2,2.5,3.6,1.0,21.8
2,2024-01-18T14:32:30.000,2024-01-18T14:50:22.000,2,1.92,16.3,0.0,0.0,1.0,20.3
1,2024-01-23T11:41:53.000,2024-01-23T11:50:04.000,1,0.9,8.6,2.5,2.5,1.0,15.1
1,2024-01-17T20:06:59.000,2024-01-17T20:19:52.000,1,2.1,12.8,3.5,0.0,1.0,17.8
2,2024-01-09T22:30:12.000,2024-01-09T22:36:42.000,1,1.8,10.0,1.0,3.75,1.0,18.75
1,2024-01-19T08:01:17.000,2024-01-19T08:11:58.000,1,2.3,12.8,2.5,2.0,1.0,18.8
2,2024-01-11T15:46:42.000,2024-01-11T15:51:45.000,1,0.48,6.5,0.0,0.0,1.0,10.5
2,2024-01-07T11:56:50.000,2024-01-07T11:59:57.000,2,0.64,5.8,0.0,1.96,1.0,11.76
2,2024-01-20T21:00:09.000,2024-01-20T21:04:00.000,2,0.9,6.5,1.0,0.0,1.0,11.5
2,2024-01-20T21:32:25.000,2024-01-20T21:52:05.000,1,4.82,24.0,1.0,5.8,1.0,34.8
1,2024-01-05T07:44:56.000,2024-01-05T08:00:21.000,1,4.5,23.3,2.5,2.0,1.0,29.3
2,2024-01-22T17:33:13.000,2024-01-22T18:29:47.000,1,18.67,70.0,5.0,21.48,1.0,109.17
2,2024-01-24T19:39:20.000,2024-01-24T20:02:15.000,1,4.03,23.3,2.5,5.96,1.0,35.76
1,2024-01-25T18:24:53.000,2024-01-25T18:48:25.000,1,6.8,31.0,5.0,9.35,1.0,46.85
2,2024-01-07T21:53:50.000,2024-01-07T22:09:36.000,1,4.1,19.8,1.0,4.96,1.0,29.76
2,2024-01-06T13:45:56.000,2024-01-06T14:06:39.000,1,6.46,30.3,0.0,0.0,1.0,34.3
2,2024-01-05T10:36:14.000,2024-01-05T10:49:27.000,1,2.54,14.9,0.0,4.72,1.0,23.62
1,2024-01-14T22:24:18.000,2024-01-14T22:54:36.000,1,15.7,70.0,1.75,14.65,1.0,87.9
2,2024-01-01T03:41:25.000,2024-01-01T03:47:03.000,2,0.51,6.5,1.0,2.88,1.0,14.38
2,2024-01-07T02:18:18.000,2024-01-07T02:24:51.000,2,0.92,7.9,1.0,2.58,1.0,15.48
2,2024-01-01T01:12:36.000,2024-01-01T01:33:58.000,1,3.66,22.6,1.0,5.52,1.0,33.12
2,2024-01-21T00:15:48.000,2024-01-21T00:22:39.000,2,1.57,10.0,1.0,2.0,1.0,17.0
2,2024-01-09T19:17:30.000,2024-01-09T19:20:25.000,1,0.64,5.1,2.5,1.5,1.0,13.1
1,2024-01-23T20:03:26.000,2024-01-23T20:08:29.000,1,0.7,6.5,3.5,1.0,1.0,12.5
2,2024-01-10T14:40:31.000,2024-01-10T14:58:40.000,1,1.84,17.0,0.0,4.2,1.0,25.2
2,2024-01-05T06:15:56.000,2024-01-05T06:24:32.000,1,1.51,10.0,0.0,2.8,1.0,16.8
2,2024-01-26T01:18:02.000,2024-01-26T01:28:00.000,1,1.88,12.1,1.0,0.0,1.0,14.6
1,2024-01-10T17:12:54.000,2024-01-10T17:24:52.000,1,1.7,12.8,5.0,1.0,1.0,20.3
2,2024-01-31T18:40:39.000,2024-01-31T18:44:38.000,2,1.07,7.2,2.5,0.0,1.0,13.7
2,2024-01-19T14:12:46.000,2024-01-19T14:32:51.000,3,5.05,25.4,0.0,5.88,1.0,35.28
2,2024-01-18T09:04:50.000,2024-01-18T09:27:24.000,1,4.46,25.4,0.0,5.88,1.0,35.28
2,2024-01-23T11:53:33.000,2024-01-23T12:20:03.000,1,2.58,22.6,0.0,1.0,1.0,27.6
2,2024-01-10T15:24:31.000,2024-01-10T15:25:24.000,1,0.06,3.0,0.0,0.0,1.0,7.0
2,2024-01-31T20:06:51.000,2024-01-31T20:12:57.000,5,0.9,7.9,1.0,1.29,1.0,14.19
2,2024-01-14T12:39:47.000,2024-01-14T13:11:25.000,2,17.14,70.0,0.0,16.19,1.0,97.13
2,2024-01-25T22:13:30.000,2024-01-25T22:30:34.000,1,2.58,18.4,1.0,5.85,1.0,29.25
2,2024-01-31T19:42:23.000,2024-01-31T19:50:28.000,4,0.95,-8.6,-2.5,0.0,-1.0,-15.1
2,2024-01-26T21:45:31.000,2024-01-26T21:49:19.000,1,0.8,6.5,1.0,0.0,1.0,11.5
2,2024-01-18T12:05:29.000,2024-01-18T12:18:41.000,1,2.14,14.2,0.0,3.64,1.0,21.84
1,2024-01-12T00:44:21.000,2024-01-12T00:52:24.000,1,2.5,12.1,3.5,3.4,1.0,20.5
1,2024-01-22T11:03:17.000,2024-01-22T12:12:43.000,1,11.3,41.5,0.0,0.0,1.0,43.0
